mZ      mA          br       
600     300         0.45217    
600     400         0.063916    
800     300         0.27765
800     400         0.091124
800     500         0.036700    
800     600         0.010101    
1000    300         0.14383    
1000    400         0.058824    
1000    500         0.03431    
1000    600         0.01897    
1000    700         0.0085776
1000    800         0.0027483   
1200    300         0.075451    
1200    400         0.034039    
1200    500         0.022935    
1200    600         0.015763    
1200    700         0.010028    
1200    800         0.005656    
1400    300         0.041208
1400    400         0.019609    
1400    500         0.014225    
1400    600         0.010822    
1400    700         0.0079659   
1400    800         0.0055221   
1700    300         0.017786    
1700    400         0.0088466   
1700    500         0.0068221   
1700    600         0.0056149   
1700    700         0.0045823   
1700    800         0.0036537   
2000    300         0.0082317   
2000    400         0.0041934   
2000    500         0.003341    
2000    600         0.0028691   
2000    700         0.0024651   
2000    800         0.0020981   
2500    300         0.0025458   
2500    400         0.0013246   
2500    500         0.0010859   
2500    600         0.00096781  
2500    700         0.00086993  
2500    800         0.0007806   
