mA          br
300         0.078074
325         0.075024
350         0.054397
375         0.040842
400         0.035214
425         0.031414
450         0.028439
475         0.025931
500         0.023701
525         0.021655
550         0.019768
575         0.017984
600         0.016297
625         0.014689
650         0.013172
675         0.011738
700         0.01037
725         0.0091117
750         0.0079364
775         0.0068459
800         0.0058514
825         0.0049424
925         0.0021842
950         0.001712
1000         0.0010006
